continent,nation,uni_name_eng,uni_name_ko,lat,lng,partner,course_point,category,program_date,program_date_tidily,program_duration,application_due,teaching_lang,minimum_lang,partner_adv,adv,expense,link,intern_program,accomodation
유럽,체코,Masaryk University,마사리크대학교,49.2105,16.6091,,"멋진 홈페이지. 핫한 수업. 멋진 인턴십. 
배아학, GenAI, 밈, 법의학이 궁금하다면?",전체,7. 13 - 7. 26,"6-7월, 7월, 6-8월","2주, 3주, 4주, 9주",5. 1,영어,"B2 English (IELTS, TOFLE, Cambridge), 상황에 따라 B1 수용
(자세하게 명시되어 있지 않음)",,C(300만 원),과목마다 상이,https://summeratmasaryk.cz/,"연구실인턴, 기업인턴",확인 필요
유럽,스페인,"Autonomous University of Barcelona
(Universitat Autònoma de Barcelona)",바르셀로나자치대학교,41.5,2.105,파트너대학,"☏ 모든 분야 대기중 ☏ 자연과학, 공학, 인문, 사회, 예술",전체,6. 23 - 7.11 / 7.14 - 8. 1,"6-7월, 7-8월",3주,최종 5.31,영어 / 스페인어,없음,,B(400만 원),€930/course,https://www.uab.cat/web/uab-barcelona-summer-school-1345844075637.html,,기숙사
유럽,프랑스,"Paris Institute of Political Studies
(Institutd'étu des politiques de Paris)",파리정치대학,48.8472,2.345,,사회과학 명문 그랑제콜 수업 엿보기📖,사회과학,"6. 2 - 6. 27
7. 1 - 7. 25","6월, 7월",4주,4.16 / 5.7,영어 / 불어,"TOEFL (iBT) 90
IETLS 6.5
듀오링고 130
",,A(500만 원),€2900/session,https://www.sciencespo.fr/summer-school/en/,,"홈스테이, 호스텔"
유럽,핀란드,Aalto University,알토대학교,60.1848,24.8281,,"유럽 IT 중심지에서 게임개발, AI 🎮
북유럽 디자인과 행복의 비결까지!",전체,프로그램마다 상이,"7월, 7-8월, 8월",2주,5. 31,영어,없음,,A(500만 원),프로그램마다 상이,https://www.aalto.fi/en/aaltosummer,,미제공
유럽,덴마크,Aarhus University,오르후스대학교,56.1681,10.203,,C++ 창시자 직강! + 경제경영 등 전분야 코스 준비 💰,전체,"7. 2 - 7. 18
7. 23 - 8. 8","7월, 7-8월","2주, 3주, 4주",3. 12,영어,없음,등록금 면제,"확인 필요 (24년 기준, 등록금 면제시 여비지원 X)",프로그램마다 상이,https://international.au.dk/education/admissions/summeruniversity/welcome-to-au-summer-university,,"기숙사, 호텔"
유럽,네덜란드,Vrije University of Amsterdam,암스테르담자유대학교,52.333,4.865,파트너대학,지속가능한 미래를 위한 30개 코스 🌱,전체,7. 5 - 8. 3,"7월, 7-8월","1주, 2주",5. 1,영어,없음,파트너 대학 제공 등록금 가격,A(500만 원),"€ 1,035",https://vu.nl/en/education/summerschool,,호텔
유럽,러시아,HSE Saint Petersburg,러시아 고등경제대학교 상트페테르부르크(HSE),59.9291,30.3609,파트너대학,러시아 정치·경제 탐구 프로그램 🏛,"경영경제, 사회과학",7. 7 - 8. 8,"7월, 7-8월","2주, 4주",5. 10,영어 / 러시아어,"B2+
(자세하게 명시되어 있지 않음)",등록금 20% 할인,A(500만 원),"RUB 3000 (registration fee) + 
course fee (프로그램마다 상이)",https://spb.hse.ru/en/io/sumsch/,,기숙사
아시아,일본,Sophia University,소피아대학교,35.7061,139.7366,,동아시아(일본)학 코스만 제공 🇯🇵,"언어·지역학, 인문예술",7. 1 - 7. 22,7월,3주,3. 7,영어 / 일본어,"TOEFL (itp): 550 
TOEFL (iBT): 79 
IELTS: 6.0",,A(500만 원),프로그램마다 상이,https://piloti.sophia.ac.jp/eng/studyabroad/short-term/,,미제공
아시아,일본,Waseda Summer Session,와세다대학교,35.7081,139.722,,아시아 대표 경영대학에서 배우는 비즈니스 & 문화 & 정치 📈,"경영경제, 사회과학",6. 14 - 7. 25,6-7월,7주,3. 7,영어,"TOEFL (iBT) 79
TOEFL (pbt) 550
IETLS 6.0
",,A(500만 원),"프로그램 및 거주 형태마다 
상이",https://waseda-summer.com/,,기숙사
아시아,일본,The University of Tokyo,도쿄대학교,35.7126,139.761,,세계적 STEM 연구대학의 STEM 코스부터 인문학 코스까지,전체,6. 16 - 7. 28,"6월, 6월-7월, 7월","1주, 2주",3. 14,영어,"TOEFL (iBT) 90
IETLS 6.5
",등록금 15% 할인 (AUA 회원/USTEP 파트너 대학에 해당),A(500만 원),"JPY 180,000/course +
JPY 5,000 (application fee)",https://www.u-tokyo.ac.jp/en/prospective-students/guc.html,,미제공
